Language_area;Journal;Year;Issue_ID;Vol;No;Listed_Translator;Translator;Author;Title;Genre;SL;TL;Notes
DE;GT;1947;8;2;6;Stammler, Heinrich;Stammler, Heinrich;Ivanov, Vyacheslav;Gang nach Emmaus;Poetry;RU;DE;
DE;GT;1947;8;2;6;Stammler, Heinrich;Stammler, Heinrich;Brujssow, Valerij;Antwort;Poetry;RU;DE;
DE;GT;1947;8;2;6;Stammler, Heinrich;Stammler, Heinrich;Blok, Alexander;Wenn in des Herbstrots Blätterwand;Poetry;RU;DE;
DE;GT;1947;8;2;6;Stammler, Heinrich;Stammler, Heinrich;Jessenin, Sergej;An den Hund Jim;Poetry;RU;DE;
DE;GT;1947;9;2;7;Anon.;Anon.;Lecomte, Georges;Die Académie Francaise;Non-fictional prose;FR;DE;
DE;GT;1947;9;2;7;Anon.;Anon.;Grente, Monsignore;Ansprache an Comte d’Harcourt;Life-writing;FR;DE;Grente: Bishop of Le Mans
DE;GT;1947;9;2;7;Ehrenstein, Albert;Ehrenstein, Albert;Eastman, Max;Im Aquarium;Poetry;EN-AE;DE;
DE;GT;1947;9;2;7;Ehrenstein, Albert;Ehrenstein, Albert;Stevenson, Robert Louis;Requiem;Poetry;EN-BE;DE;
DE;GT;1947;9;2;7;Strassova, Helena;Strassova, Helena;Péguy, Charles;Gedicht;Poetry;FR;DE;
DE;GT;1947;9;2;7;Strassova, Helena;Strassova, Helena;Braspart, Michael;Eine Theater-saison in Paris;Life-writing;FR;DE;
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Abschied von einem jungen Gelehrten;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Nächtlicher Regen;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Behütete Blüte;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Der Erhoffte nicht naht;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Vom oberen Strome scheidender Fremdling;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Herbstlicher Vorsatz dem Päonienbusch;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Der sich zu der süßduftenden Berge erneuernder Schrift und Halle bekennende Mönch;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Bo-Djü-I;Trunknes Innere angesichts sich rötender Blätter;Poetry;CH;DE;"Part of a group of 8 poems titled ""Gedichte"""
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der sechste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der sechsundzwanzigste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der neunundzwanzigste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der siebenundfünfzigste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der vierundsiebzigste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der fünfundsiebzigste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Gerhard, Karl;Gerhard, Karl;Lao-Dsi;Der achtzigste Spruch;Poetry;CH;DE;"From Das altbewährte Buch vom rechten Weg und rechter Wesensart. Part of a group of 7 texts titled ""Gedichte,"" although this is originally not poetry (original: https://en.wikipedia.org/wiki/Tao_Te_Ching)”"
DE;GT;1947;10;2;8_9;Kiechler, Walter;Kiechler, Walter;Mallarmé, Stéphane;L’azur;Poetry;FR;DE;
DE;GT;1947;10;2;8_9;Kiechler, Walter;Kiechler, Walter;Mallarmé, Stéphane;Don du poème;Poetry;FR;DE;
DE;GT;1947;11;2;10;Tholen, Wilhelm;Tholen, Wilhelm;Shelley, Percy Bysshe;Die Wolke;Poetry;EN-BE;DE;
DE;GT;1947;11;2;10;Wagenseil, Hans Beppo;Wagenseil, Hans Beppo;Nicolson, Harold;Englischer Cant;Non-fictional prose;EN-BE;DE;
DE;GT;1947;11;2;10;Wagenseil, Hans Beppo;Wagenseil, Hans Beppo;Maugham, W. Somerset;Der griechische Torso;Fictional prose;EN-BE;DE;
DE;GT;1947;12;2;11_12;Bertsch, Trudel;Bertsch, Trudel;Valéry, Paul;Zwiegespräch um den Baum;Drama;FR;DE;
DE;GT;1947;12;2;11_12;Bertsch, Trudel;Bertsch, Trudel;Beaurepaire, E.;Die Entwickling der zeitgenöss. franz. Malerei;Non-fictional prose;FR;DE;
DE;GT;1947;12;2;11_12;Conitzer, Gert;Conitzer, Gert;Bedregal, Yolanda;Collar de nueve lunas hechas de sombra y canto;Poetry;SP;DE;"Part of a group of 4 poems titled ""Gedichte"""
DE;GT;1947;12;2;11_12;Conitzer, Gert;Conitzer, Gert;Bedregal, Yolanda;Vergeblich;Poetry;SP;DE;"Part of a group of 4 poems titled ""Gedichte"""
DE;GT;1947;12;2;11_12;Conitzer, Gert;Conitzer, Gert;Bedregal, Yolanda;Getrunken habe ich ...;Poetry;SP;DE;"Part of a group of 4 poems titled ""Gedichte"""
DE;GT;1947;12;2;11_12;Conitzer, Gert;Conitzer, Gert;Bedregal, Yolanda;Durst;Poetry;SP;DE;"Part of a group of 4 poems titled ""Gedichte"""
DE;GT;1948;13;3;1;Bukofzer, Werner;Bukofzer, Werner;Macneice, Louis;Treffpunkt;Poetry;EN-AE;DE;
DE;GT;1948;13;3;1;Strassova, Helena;Strassova, Helena;Gide, André;Aus „Theseus“;Fictional prose;FR;DE;
DE;GT;1948;14;3;2;"Draws-Tychsen, Hellmut; Hagy, Livia";"Draws-Tychsen, Hellmut; Hagy, Livia";Babicky, Béla;Verse an eine Weide;Poetry;HU;DE;
DE;GT;1948;14;3;2;Ebel, Gjuro;Ebel, Gjuro;Anon.;Der Tod des Täufers;Drama;CR;DE;Croatian tragic play, Salomé, from Biblical source
DE;GT;1948;14;3;2;Mühlberger, Josef;Mühlberger, Josef;Halas, František;Abend im Dorf;Poetry;CZ;DE;
DE;GT;1948;15;3;3;Alegiani, Conte;Alegiani, Conte;Montale, Eugenio;Lungomare;Poetry;IT;DE;
DE;GT;1948;15;3;3;Jahn, Janheinz;Jahn, Janheinz;Montale, Eugenio;Arsenius;Poetry;IT;DE;
DE;GT;1948;15;3;3;Alegiani, Conte;Alegiani, Conte;Ungaretti, Giuseppe;[Untitled];Poetry;IT;DE;
DE;GT;1948;15;3;3;Alegiani, Conte;Alegiani, Conte;Ungaretti, Giuseppe;[Untitled];Poetry;IT;DE;
DE;GT;1948;15;3;3;Jahn, Janheinz;Jahn, Janheinz;Ungaretti, Giuseppe;Fluch der Fantasie;Poetry;IT;DE;
DE;GT;1948;15;3;3;Birnbaum, Charlotte;Birnbaum, Charlotte;Alvaro, Corrado;Wasser;Fictional prose;IT;DE;
DE;GT;1948;15;3;3;Birnbaum, Charlotte;Birnbaum, Charlotte;Cardarelli, Vincenzo;Etruskische Elegie;Fictional prose;IT;DE;
DE;GT;1948;15;3;3;Grivannes, Marcelle;Grivannes, Marcelle;Moravia, Alberto;Das Krokodil;Fictional prose;IT;DE;
DE;GT;1948;15;3;3;Matheis, F.;Matheis, F.;Apollonia, Mario;Das Theater;Non-fictional prose;IT;DE;
DE;GT;1948;15;3;3;Matheis, F.;Matheis, F.;Savinio, Alberto;Das Mutterklavier;Fictional prose;IT;DE;From „Das ganze Leben“ Bompiani, Milano
DE;GT;1948;15;3;3;Stephan, Toni;Stephan, Toni;Vittorini, Elio;Novelle;Fictional prose;IT;DE;From „Il Sempione strizza l’occhio al Frejus” Bompiani, Milano
DE;GT;1948;15;3;3;Fritz, Karl Egon;Fritz, Karl Egon;Castelli, Enrico;Ist die existentialistische Literatur Philosophie oder Literatur?;Non-fictional prose;IT;DE;
DE;GT;1948;16;3;4;Bertsch, Trudel;Bertsch, Trudel;Vendôme, André;Die Bekehrung von Max Jacob;Life-writing;FR;DE;From „Etudes“ Jan/Feb 1948
DE;GT;1948;17;3;5;Sander, Ernst;Sander, Ernst;Cassou, Jean;Das Königreich der Aussätzigen;Fictional prose;FR;DE;
DE;GT;1948;18;3;6;Elster, Hanns Martin;Elster, Hanns Martin;Cocteau, Jean;Schwer ist es zu leben;Life-writing;FR;DE;From „Difficulté d’être“
DE;GT;1948;18;3;6;Pariser, Anton;Pariser, Anton;Pibrac, Guy du Faur;Der Mensch;Poetry;FR;DE;
DE;GT;1948;19;3;7;Bertsch, Trudel;Bertsch, Trudel;Colleville, Maurice;Nietzsche und der Doktor Faustus von Thomas Mann;Non-fictional prose;FR;DE;From „Etudes germaniques“ 2/3 1948
DE;GT;1948;19;3;7;Pariser, Anton;Pariser, Anton;Anon.;Sankt Niklas;Poetry;FR-OLD;DE;
DE;GT;1948;19;3;7;Pariser, Anton;Pariser, Anton;Anon.;König Raginalds Tod;Poetry;FR-OLD;DE;
DE;GT;1948;19;3;7;Pariser, Anton;Pariser, Anton;Ronsard, Pierre de;Zwei Sonette, auf dem Totenbett entstanden (I);Poetry;FR-OLD;DE;"Part of a group of 2 poems under the same title: ""Zwei Sonette, auf dem Totenbett entstanden"""
DE;GT;1948;19;3;7;Pariser, Anton;Pariser, Anton;Ronsard, Pierre de;Zwei Sonette, auf dem Totenbett entstanden (II);Poetry;FR-OLD;DE;"Part of a group of 2 poems under the same title: ""Zwei Sonette, auf dem Totenbett entstanden"""
DE;GT;1948;20;3;8;Münz, Erwin Karl;Münz, Erwin Karl;Béguin, Albert;Der Christ und die Dichtung der Zeit;Non-fictional prose;FR;DE;J: Témoignage chrétien
DE;GT;1949;21;4;1;Draws-Tychsen, Hellmut;Draws-Tychsen, Hellmut;Ramón y Cajal, Santiago;Die Welt, geschaut mit 80 Jahren;Non-fictional prose;SP;DE;Allein berechtigte Uebertragung
DE;GT;1949;21;4;1;Furreg, Herbert;Furreg, Herbert;Eliot, T. S.;Die Idee einer christlichen Gesellschaft;Non-fictional prose;EN-BE;DE;Copyright Amandus Edition, Wien und Cosmopreß, Genf. In englischer Sprache erstmalig erschienen 1939 im Verlag Faber and Faber Limited London
DE;GT;1949;21;4;1;Peterich, Eckart;Peterich, Eckart;Calderón de la Barca, Pedro;Der standhafte Prinz;Drama;SP;DE;Theatre, „für die deutsche Bühne erneuert“
DE;GT;1949;21;4;1;Wydenbruck, Nora;Wydenbruck, Nora;Eliot, T. S.;Dry Salvages/Vier Quartette;Poetry;EN-BE;DE;Copyright Amandus-Edition, Wien and Cosmopreß, Genf
DE;GT;1949;22;4;2;Gradaus, Hans;Gradaus, Hans;Farrère, Claude;Ein königlicher Liebesdienst;Fictional prose;FR;DE;From „Revue des deux mondes“ 15.11.1926
DE;GT;1949;22;4;2;Gradaus, Hans;Gradaus, Hans;Farrère, Claude;Claude Farrère und Pierre Loti;Life-writing;FR;DE;From „Revue des deux mondes“ 15.11.1926
DE;GT;1949;22;4;2;Schering, Emil;Schering, Emil;Strindberg, August;Die Sonnenjungfrau, Einakter;Drama;SE;DE;Theatre, from manuscript
DE;GT;1949;23;4;3;Ege, Friedrich;Ege, Friedrich;Schoultz, Solveig von;Die Frauen;Poetry;FI;DE;
DE;GT;1949;23;4;3;Kemp, Friedhelm;Kemp, Friedhelm;Rossetti, Christina;Vögel des Paradieses;Poetry;EN-BE;DE;
DE;GT;1949;23;4;3;Serelmann-Küchler, Elisabeth;Serelmann-Küchler, Elisabeth;Cayrol, Jean;On vous parle;Fictional prose;FR;DE;From „Je vivrai l‘Amour des autres”, Karl-Rauch-Verlag Boppard for German edition
DE;GT;1949;23;4;3;Weiler, Karl;Weiler, Karl;Bos, Charles du;Aus dem letzten Tagebuch 1939;Life-writing;FR;DE;From „Présences“, copyright 1945 Plou, Paris
DE;GT;1949;24;4;4;Andertann, Hedwig;Andertann, Hedwig;Supervielle, Jules;Das Mädchen mit der Geigenstimme;Fictional prose;FR;DE;
DE;GT;1949;24;4;4;Andertann, Hedwig;Andertann, Hedwig;Supervielle, Jules;Die Folgen eines Rennens;Fictional prose;FR;DE;
DE;GT;1949;24;4;4;Günther, Johann von;Günther, Johann von;Voloshin, Maximilian;Heiliges Rußland;Poetry;"RU; UKR";DE;
DE;GT;1949;24;4;4;Meienburg, K. H.;Meienburg, K. H.;Ermilow, W.;Dostojewski und unsere Kritik;Non-fictional prose;RU;DE;Aus der „Literaturnaja Gazeta“ from 24.12.1947
DE;GT;1949;24;4;4;Münz, Erwin Karl;Münz, Erwin Karl;Claudel, Paul;Kunst und Kunstfertigkeit;Non-fictional prose;FR;DE;
DE;GT;1949;25;4;5;NONE;NONE;NONE;NONE;NONE;NONE;NONE;
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Bertrand, Aloysius;Im Vollmond;Poetry;FR;DE;"From Gaspard de la nuit. Part of a group of 5 prose poems titled ""Prosagedichte"""
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Bertrand, Aloysius;Undine;Poetry;FR;DE;"From Gaspard de la nuit. Part of a group of 5 prose poems titled ""Prosagedichte"""
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Bertrand, Aloysius;Oktober;Poetry;FR;DE;"From Gaspard de la nuit. Part of a group of 5 prose poems titled ""Prosagedichte"""
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Bertrand, Aloysius;Die Herzogin von Montbazon;Poetry;FR;DE;"From Gaspard de la nuit. Part of a group of 5 prose poems titled ""Prosagedichte"""
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Bertrand, Aloysius;An den Bildhauer David d'Angers;Poetry;FR;DE;"From Gaspard de la nuit. Part of a group of 5 prose poems titled ""Prosagedichte"""
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Nerval, Gérard de;Aus „Sylvie“;Fictional prose;FR;DE;
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Guérin, Maurice de;Die Bacchantin;Fictional prose;FR;DE;
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Baudelaire, Charles;Leben und Werk E. Poes;Life-writing;FR;DE;
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Villiers de l'Isle-Adam, Auguste;Höchste Liebe;Fictional prose;FR;DE;
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Regnier, Henri de;Die Bücher;Poetry;FR;DE;"From Erste Dichtungen. Part of a group of 2 poems titled ""Gedichte"""
DE;GT;1949;26;4;6;Bodeck, Hermann;Bodeck, Hermann;Regnier, Henri de;Wie im Traum;Poetry;FR;DE;"[Extract]. From Erste Dichtungen. Part of a group of 2 poems titled ""Gedichte"""
DE;GT;1949;26;4;6;Böschenstein, Bernhard;Böschenstein, Bernhard;Mallarmé, Stéphane;Aus „Vergessene Seiten“;Poetry;FR;DE;
DE;GT;1949;26;4;6;Böschenstein, Bernhard;Böschenstein, Bernhard;Verlaine, Paul;Der Mond so weiß;Poetry;FR;DE;
DE;GT;1949;26;4;6;Böschenstein, Bernhard;Böschenstein, Bernhard;Verlaine, Paul;Die Heilige im Gloriengolde;Poetry;FR;DE;
DE;GT;1949;26;4;6;Mathi, Maria;Mathi, Maria;Poe, Edgar Allan;An meine Mutter;Poetry;EN-AE;DE;
DE;GT;1950;27;5;1;Anon.;Anon.;Santayana, George;Spuren von „Egotismus“ bei Goethe;Non-fictional prose;EN-AE;DE;"Ch. IV „Hints of Egotism in Goethe” from “Egotism in German Philosophy”, London 1916, Neuausgabe 1939; no German translation published"
DE;GT;1950;27;5;1;Broemser, Hans;Broemser, Hans;Valéry, Paul;Mauvaises pensées et autres;Quotation;FR;DE;
DE;GT;1950;27;5;1;Draws-Tychsen, Hellmut;Draws-Tychsen, Hellmut;Alarcón, Pedro Antonio de;Ein Zwiegespräch in der Alhambra;Life-writing;SP;DE;Erstmalig aus dem Spanischen übertragen
DE;GT;1950;27;5;1;Helling, Servais;Helling, Servais;Gide, André;Um Wert und Würde;Non-fictional prose;FR;DE;From speech „Literarische Erinnerungen und Fragen der Gegenwart“ given in Beirut and Brussels
DE;GT;1950;27;5;1;Weinert, Hermann Karl;Weinert, Hermann Karl;Cohen, Gustave;Zum Lobe von Paul Valéry;Non-fictional prose;FR;DE;
DE;GT;1950;28;5;2;Baldus, Alexander;Baldus, Alexander;Duun, Olav;Die Rache ist süß;Fictional prose;NOR;DE;Aus dem Norwegischen Landsmaal
DE;GT;1950;28;5;2;Steil-Beuerle, Elisabeth;Steil-Beuerle, Elisabeth;Romains, Jules;Ansprache am Grabe Yvan Golls;Life-writing;FR;DE;
DE;GT;1950;28;5;2;Strassova, Helena;Strassova, Helena;Toesca, Maurice;Erste Anmerkung über das Irreelle;Life-writing;FR;DE;
DE;GT;1950;28;5;2;Strassova, Helena;Strassova, Helena;Toesca, Maurice;Die Blume Espéranza;Fictional prose;FR;DE;
DE;GT;1950;29;5;3;Eckardt-Skalberg, Elfriede;Eckardt-Skalberg, Elfriede;Anon.;Vom silbernen Schüsselchen und vom klaren Äpfelchen;Fictional prose;RU;DE;
DE;GT;1950;29;5;3;Szalay-Kleeborn, Hermine von;Szalay-Kleeborn, Hermine von;Chesterton, G. K.;Einleitende Bemerkungen über die Wichtigkeit der Orthodoxie;Non-fictional prose;EN-BE;DE;Mit Genehmigung der Amandus-Edition, Wien
DE;GT;1950;29;5;3;Münz, Erwin Karl;Münz, Erwin Karl;"Péguy, Charles; Johannet, René";Der Mann, der sich langweilte;Fictional prose;FR;DE;Einzig berechtigte Übetragung
DE;GT;1950;29;5;3;Noah, Heinz;Noah, Heinz;Schierbeek, Bert;Das Café;Fictional prose;DU;DE;From Dutch magazine „Podium“
DE;GT;1950;29;5;3;Schering, Emil;Schering, Emil;Strindberg, August;Der Reformator;Drama;SE;DE;From manuscript
DE;GT;1950;30;5;4;Bodeck, Hermann;Bodeck, Hermann;Rochefoucauld, Edmée de la;Paul Valéry als Mensch;Life-writing;FR;DE;From Images de Paul Valéry, Le Roux, Strasbourg 1949
DE;GT;1950;30;5;4;Ege, Friedrich;Ege, Friedrich;Manninen, Otto;Die Welle schweigt;Poetry;FI;DE;In Zusammenarbeit mit dem Dichter
DE;GT;1950;30;5;4;Fromm, Hans;Fromm, Hans;Koskenniemi, Veikko Antero;Berg der Versuchung – Berg der Verzweiflung;Non-fictional prose;FI;DE;From Symphonia Europaea A. D. 1931, chapter Näköalavuori
DE;GT;1950;30;5;4;Szalay-Kleeborn, Hermine von;Szalay-Kleeborn, Hermine von;Ronsard, Pierre de;Sonett;Poetry;FR;DE;
DE;GT;1950;30;5;4;Szalay-Kleeborn, Hermine von;Szalay-Kleeborn, Hermine von;Rimbaud, Arthur;Ewigkeit;Poetry;FR;DE;
DE;GT;1950;30;5;4;Münz, Erwin Karl;Münz, Erwin Karl;Charasson, Henriette;Ein seltsamer Mensch;Fictional prose;FR;DE;From „L’Amour et quelques couples” Flammarion, Paris 1947
DE;GT;1950;30;5;4;Fritz, Karl Egon;Fritz, Karl Egon;Paladini, Aldo;Der Sog;Fictional prose;IT;DE;Frei übertragen, Titel des Originals „Il Buco“, es wird 1951 in einem Erzählungsband „L’Inganno“ (Der Betrug) im Verlag Mondadori, Mailand erscheinen
DE;GT;1950;31;5;5;Szalay-Kleeborn, Hermine von;Szalay-Kleeborn, Hermine von;Poe, Edgar Allan;Der schwarze Kater;Fictional prose;EN-AE;DE;
DE;GT;1950;31;5;5;Szalay-Kleeborn, Hermine von;Szalay-Kleeborn, Hermine von;Rimbaud, Arthur;Sonne und Fleisch;Poetry;FR;DE;
DE;GT;1950;31;5;5;Littmann, Enno;Littmann, Enno;Anon.;Ahmed il-Bedawi;Poetry;AR;DE;Poem recorded and translated by Littmann
DE;GT;1950;31;5;5;Mathi, Maria;Mathi, Maria;Poe, Edgar Allan;Der Rabe;Poetry;EN-AE;DE;
DE;GT;1950;32;5;6;Bodeck, Hermann;Bodeck, Hermann;Bertrand, Aloysius;Einleitung: Gaspard de la Nuit;Fictional prose;FR;DE;
DE;GT;1950;32;5;6;Hennecke, Hans;Hennecke, Hans;Pound, Ezra;Die Flamme;Poetry;EN-AE;DE;
DE;GT;1950;32;5;6;Szalay-Kleeborn, Hermine von;Szalay-Kleeborn, Hermine von;Waugh, Evelyn;Schwarzer Stiefel;Fictional prose;EN-BE;DE;From Black Mischief
DE;GT;1950;32;5;6;"Schäfer, Oda; Misevicius, Albinas";"Schäfer, Oda; Misevicius, Albinas";Anon.;Litauisches Märchen: Der Dumme und sein Freund Wolf;Fictional prose;LIT;DE;
DE;GT;1951;33;6;1;Eckardt-Skalberg, Elfriede;Eckardt-Skalberg, Elfriede;Anon.;Gott allein weiß;Poetry;LT;DE;Lettische Volkslieder
DE;GT;1951;33;6;1;Eckardt-Skalberg, Elfriede;Eckardt-Skalberg, Elfriede;Anon.;Böcklein mein;Poetry;LT;DE;Lettische Volkslieder
DE;GT;1951;33;6;1;Eckardt-Skalberg, Elfriede;Eckardt-Skalberg, Elfriede;Anon.;Mäuschen fährt, der Wagen knarrt;Poetry;LT;DE;Lettische Volkslieder
DE;GT;1951;33;6;1;Eckardt-Skalberg, Elfriede;Eckardt-Skalberg, Elfriede;Anon.;Eine liebe Seele;Poetry;LT;DE;Lettische Volkslieder
DE;GT;1951;33;6;1;Fischer, Georg;Fischer, Georg;Dschami;Leila und Madjnun;Poetry;PER;DE;
DE;GT;1951;33;6;1;Kiechler, Walter;Kiechler, Walter;Ventadour, Bernard de;Quand vey la Lauzeta mover;Poetry;FR-OLD;DE;
